evm.model.scaffold1.3303	P03322	51.786	224	96	3	2	218	263	481	1.08e-67	225
evm.model.scaffold1.724	Q4KLP8	30.698	645	326	19	36	593	8	618	2.27e-52	193
evm.model.scaffold1.1752	P21328	29.327	208	136	4	52	249	584	790	1.42e-15	82.0
evm.model.scaffold1.3040	P21328	33.333	78	51	1	21	98	584	660	2.29e-07	51.2
evm.model.scaffold1.3766	P21328	34.746	118	49	3	84	176	615	729	4.70e-09	58.2
evm.model.scaffold1.658	P09022	71.667	300	74	4	1	289	1	300	8.18e-148	421
evm.model.scaffold1.3000	A0A0K0MJ13	95.522	134	6	0	43	176	1	134	5.20e-93	269
evm.model.scaffold1.568	Q2KIC2	93.210	486	24	1	1	486	1	477	0.0	945
evm.model.scaffold1.3234	Q5ZMM5	100.000	76	0	0	17	92	1	76	1.08e-49	154
evm.model.scaffold1.969	P21328	28.409	176	117	4	6	175	488	660	6.20e-11	63.5
evm.model.scaffold1.2469	Q9Y4B5	62.663	1998	530	30	1	1887	1	1893	0.0	2182
evm.model.scaffold1.720	Q8N7U6	65.535	383	132	0	17	399	264	646	0.0	538
evm.model.scaffold1.3007	P57768	75.783	351	73	4	1	346	1	344	1.27e-179	504
evm.model.scaffold1.1755	Q05118	32.609	92	62	0	79	170	13	104	1.41e-07	54.7
evm.model.scaffold1.521	Q5R530	98.814	253	3	0	19	271	19	271	0.0	521
evm.model.scaffold1.3084	Q03274	29.688	128	86	1	2	129	50	173	5.84e-13	69.3
evm.model.scaffold1.263	Q8IDX6	26.957	115	84	0	24	138	2748	2862	6.47e-11	65.5
evm.model.scaffold1.201	Q921L8	77.163	578	132	0	35	612	30	607	0.0	963
evm.model.scaffold1.2159	Q0MQH5	70.000	110	22	2	3	108	2	104	6.72e-45	150
evm.model.scaffold1.3491	Q6PL18	58.993	1390	471	23	1	1315	22	1387	0.0	1514
evm.model.scaffold1.3809	P04458	81.633	98	18	0	1	98	1	98	1.05e-48	152
evm.model.scaffold1.3047	Q9D6N1	72.941	255	69	0	2	256	4	258	2.65e-139	395
evm.model.scaffold1.2290	Q8TDF5	92.871	505	36	0	31	535	10	514	0.0	968
evm.model.scaffold1.2579	Q5RFQ1	98.293	410	7	0	1	410	1	410	0.0	748
evm.model.scaffold1.2585	Q7L1S5	72.340	329	91	0	7	335	115	443	3.13e-180	509
evm.model.scaffold1.862	Q6UXF1	57.289	391	144	10	123	499	194	575	6.29e-128	387
evm.model.scaffold1.3794	P04458	81.633	98	18	0	1	98	1	98	1.05e-48	152
evm.model.scaffold1.2737	P21328	25.523	239	161	5	17	241	615	850	2.76e-15	79.0
evm.model.scaffold1.1305	Q7TSG2	66.741	896	248	13	63	949	106	960	0.0	1110
evm.model.scaffold1.2663	Q00322	53.636	330	87	11	3	329	2	268	7.06e-88	267
evm.model.scaffold1.1490	Q9P0S9	81.176	85	16	0	3	87	10	94	3.56e-43	139
evm.model.scaffold1.1985	A1L167	99.342	152	1	0	151	302	1	152	4.42e-109	318
evm.model.scaffold1.2730	Q3MHR0	87.391	230	28	1	1	229	1	230	3.70e-151	422
evm.model.scaffold1.3753	C0HL12	76.888	1324	224	14	2	1297	282	1551	0.0	2004
evm.model.scaffold1.1302	P03360	34.677	248	142	9	311	540	137	382	1.21e-25	118
evm.model.scaffold1.1529	B0BK70	92.925	212	15	0	150	361	2	213	5.65e-123	380
evm.model.scaffold1.1269	P21328	27.818	417	282	8	142	544	438	849	5.30e-34	142
evm.model.scaffold1.2545	Q0IIF7	91.093	494	42	1	1	492	1	494	0.0	941
evm.model.scaffold1.2734	Q8AWH3	50.488	410	167	11	1	404	1	380	4.15e-124	367
evm.model.scaffold1.1942	Q6ZQ89	92.544	912	64	4	1	911	1	909	0.0	1592
evm.model.scaffold1.2526	P21329	29.358	218	126	9	3	201	641	849	1.14e-13	74.7
evm.model.scaffold1.2266	Q9C0G0	67.692	455	124	7	46	494	1811	2248	0.0	561
